dia,cajero,pagos,cobros
359,Cajero 1,37,45
359,Cajero 2,46,34
359,Cajero 3,48,32
360,Cajero 1,37,32
360,Cajero 2,39,33
360,Cajero 3,41,40
361,Cajero 1,45,36
361,Cajero 2,43,40
361,Cajero 3,50,48
362,Cajero 1,41,46
362,Cajero 2,32,41
362,Cajero 3,48,41
363,Cajero 1,36,45
363,Cajero 2,41,37
363,Cajero 3,45,37
364,Cajero 1,30,33
364,Cajero 2,36,42
364,Cajero 3,31,44
365,Cajero 1,51,38
365,Cajero 2,46,46
365,Cajero 3,30,38
